area_type,availability,location,size,total_sqft,bath,balcony,City,Price,BHK,ready_to_move,price_per_sqft
Plot  Area,Ready To Move,Basaveshwara Nagar,2 Bedroom,1200,1,1,Bangalore,18000000,2,1,15000
Super built-up  Area,22-12-2024 00:00,Bannerghatta Road,2 BHK,1122.5,2,0,Bangalore,6174000,2,0,5500.222717
Super built-up  Area,17-12-2024 00:00,Thanisandra,3 BHK,1573,3,2,Bangalore,10000000,3,0,6357.279085
Super built-up  Area,18-01-2024 00:00,CV Raman Nagar,2 BHK,1227,2,2,Bangalore,4288000,2,0,3494.702526
Super built-up  Area,Ready To Move,Yemlur,2 BHK,1210,2,1,Bangalore,6000000,2,1,4958.677686
Super built-up  Area,19-02-2024 00:00,Basavangudi,3 BHK,1650,3,3,Bangalore,12500000,3,0,7575.757576
Plot  Area,Ready To Move,Chikkalasandra,5 Bedroom,1000,4,2,Bangalore,30000000,5,1,30000
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1485,2,2,Bangalore,6300000,3,1,4242.424242
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,1735,3,2,Bangalore,9700000,3,1,5590.778098
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,1730,3,2,Bangalore,17500000,3,1,10115.60694
Super built-up  Area,Ready To Move,Sector 1 HSR Layout,3 BHK,1684,3,2,Bangalore,8600000,3,1,5106.888361
Super built-up  Area,Ready To Move,Sai Gardens,3 BHK,1686,3,3,Bangalore,7700000,3,1,4567.022539
Super built-up  Area,Ready To Move,Bikasipura,3 BHK,1654,3,3,Bangalore,8200000,3,1,4957.678356
Built-up  Area,Ready To Move,Green Glen Layout,3 BHK,1600,3,3,Bangalore,10500000,3,1,6562.5
Built-up  Area,Ready To Move,KR Puram,2 BHK,1100,2,1,Bangalore,3990000,2,1,3627.272727
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1655,3,3,Bangalore,9500000,3,1,5740.181269
Super built-up  Area,Ready To Move,Hennur,3 BHK,1830,3,3,Bangalore,12100000,3,1,6612.021858
Super built-up  Area,18-04-2024 00:00,Hebbal,3 BHK,1430,3,1,Bangalore,8500000,3,0,5944.055944
Super built-up  Area,Ready To Move,Judicial Layout,3 BHK,1989,4,3,Bangalore,15500000,3,1,7792.860734
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1044,2,2,Bangalore,5500000,2,1,5268.199234
Super built-up  Area,Ready To Move,Banashankari,3 BHK,1426,3,2,Bangalore,8500000,3,1,5960.729313
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,1115,2,2,Bangalore,5000000,2,1,4484.304933
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1000,2,1,Bangalore,2900000,2,1,2900
Plot  Area,18-01-2024 00:00,Kathriguppe,2 Bedroom,754,2,0,Bangalore,6999000,2,0,9282.493369
Built-up  Area,18-12-2024 00:00,Electronic City Phase II,2 BHK,1140,2,1,Bangalore,3306000,2,0,2900
Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,900,2,1,Bangalore,3500000,2,1,3888.888889
Built-up  Area,Ready To Move,Gulakamale,2 BHK,1200,2,3,Bangalore,5000000,2,1,4166.666667
Built-up  Area,Ready To Move,Malleshwaram,1 BHK,580,1,1,Bangalore,4500000,1,1,7758.62069
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,1200,2,0,Bangalore,6600000,3,1,5500
Super built-up  Area,18-04-2024 00:00,Munnekollal,2 BHK,1030,2,1,Bangalore,5036000,2,0,4889.320388
Super built-up  Area,Ready To Move,Koramangala,3 BHK,1910,4,3,Bangalore,15000000,3,1,7853.403141
Super built-up  Area,Ready To Move,Mahalakshmi Puram,3 BHK,1950,3,3,Bangalore,13200000,3,1,6769.230769
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,1724,3,1,Bangalore,12500000,3,1,7250.580046
Plot  Area,Ready To Move,Konanakunte Cross,3 Bedroom,1200,2,2,Bangalore,13000000,3,1,10833.33333
Plot  Area,Ready To Move,Rajaji Nagar,2 Bedroom,1314,2,0,Bangalore,22500000,2,1,17123.28767
Built-up  Area,Ready To Move,Kothanur,2 BHK,1400,2,2,Bangalore,6500000,2,1,4642.857143
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,1400,2,2,Bangalore,6800000,3,1,4857.142857
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1115,2,2,Bangalore,4460000,2,1,4000
Built-up  Area,Ready To Move,Bharathi Nagar,2 BHK,1300,2,2,Bangalore,5586000,2,1,4296.923077
Built-up  Area,Ready To Move,Arishinakunte,4 Bedroom,2400,4,1,Bangalore,15000000,4,1,6250
Super built-up  Area,19-07-2024 00:00,Kanakpura Road,2 BHK,1332,2,1,Bangalore,10800000,2,0,8108.108108
Super built-up  Area,Ready To Move,Abbigere,2 BHK,1000,2,1,Bangalore,4100000,2,1,4100
Plot  Area,18-12-2024 00:00,Whitefield,3 Bedroom,1200,3,2,Bangalore,6775000,3,0,5645.833333
Built-up  Area,Ready To Move,Whitefield,4 BHK,2444,4,2,Bangalore,14500000,4,1,5932.89689
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070,2,1,Bangalore,4800000,2,1,4485.981308
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1600,3,1,Bangalore,8500000,3,1,5312.5
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1196,2,2,Bangalore,5795000,2,1,4845.317726
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1025,2,1,Bangalore,5400000,2,1,5268.292683
Super built-up  Area,Ready To Move,Choodasandra,3 BHK,1220,3,2,Bangalore,5600000,3,1,4590.163934
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,2180,4,3,Bangalore,18000000,3,1,8256.880734
Super built-up  Area,Ready To Move,Jakkasandra,3 BHK,1600,3,2,Bangalore,10200000,3,1,6375
Built-up  Area,Ready To Move,Whitefield,2 BHK,1270,2,1,Bangalore,11000000,2,1,8661.417323
Built-up  Area,Ready To Move,Shanthala Nagar,3 BHK,3290,4,2,Bangalore,46000000,3,1,13981.76292
Super built-up  Area,22-05-2024 00:00,Jakkur,3 BHK,1932.47,3,2,Bangalore,18300000,3,0,9469.745973
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,2086,3,2,Bangalore,16000000,3,1,7670.182167
Super built-up  Area,19-12-2024 00:00,Old Madras Road,2 BHK,1165,2,1,Bangalore,5142000,2,0,4413.733906
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1310,3,1,Bangalore,6325000,3,1,4828.244275
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,1440,2,2,Bangalore,16500000,2,1,11458.33333
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1900,3,2,Bangalore,8500000,3,1,4473.684211
Built-up  Area,Ready To Move,Chandapura,2 BHK,740,1,1,Bangalore,2200000,2,1,2972.972973
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,2503,3,3,Bangalore,13800000,3,1,5513.383939
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1075,2,2,Bangalore,6000000,2,1,5581.395349
Super built-up  Area,18-08-2024 00:00,Bellandur,2 BHK,1260,2,2,Bangalore,8350000,2,0,6626.984127
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1282,2,1,Bangalore,4872000,3,1,3800.312012
Built-up  Area,Ready To Move,Tumkur Road,4 Bedroom,1100,2,1,Bangalore,6000000,4,1,5454.545455
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,1717,3,3,Bangalore,12500000,3,1,7280.139779
Super built-up  Area,18-05-2024 00:00,Chellikere,2 BHK,1088,2,2,Bangalore,4600000,2,0,4227.941176
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1335,2,1,Bangalore,5600000,3,1,4194.756554
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,1200,2,1,Bangalore,4200000,2,1,3500
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,1325,2,2,Bangalore,6000000,3,1,4528.301887
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,1157,2,1,Bangalore,7300000,2,1,6309.420916
Super built-up  Area,21-12-2024 00:00,KR Puram,4 BHK,2283,2,2,Bangalore,12100000,4,0,5300.043802
Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,1200,2,1,Bangalore,5400000,2,1,4500
Super built-up  Area,Ready To Move,Pai Layout,3 BHK,1510,2,2,Bangalore,6500000,3,1,4304.635762
Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,1050,2,2,Bangalore,5400000,2,1,5142.857143
Super built-up  Area,Ready To Move,Chikkadunnasandra,2 BHK,1200,2,2,Bangalore,4500000,2,1,3750
Super built-up  Area,18-05-2024 00:00,Binny Pete,3 BHK,1516,3,1,Bangalore,14700000,3,0,9696.569921
Plot  Area,Ready To Move,Indira Nagar,6 Bedroom,2400,6,2,Bangalore,47500000,6,1,19791.66667
Super built-up  Area,18-12-2024 00:00,Channasandra,2 BHK,1050,2,1,Bangalore,4441000,2,0,4229.52381
Plot  Area,Ready To Move,Hegde Nagar,2 Bedroom,1000,2,0,Bangalore,6600000,2,1,6600
Super built-up  Area,18-03-2024 00:00,9th Phase JP Nagar,2 BHK,1050,2,2,Bangalore,3500000,2,0,3333.333333
Plot  Area,Ready To Move,JP Nagar,4 Bedroom,600,5,2,Bangalore,11000000,4,1,18333.33333
Super built-up  Area,Ready To Move,BEML Layout,2 BHK,1194,2,1,Bangalore,6500000,2,1,5443.886097
Plot  Area,Ready To Move,Ananth Nagar,4 Bedroom,600,3,2,Bangalore,6200000,4,1,10333.33333
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1210,2,3,Bangalore,6900000,2,1,5702.479339
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1660,3,1,Bangalore,11000000,3,1,6626.506024
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,1410,2,3,Bangalore,12500000,2,1,8865.248227
Super built-up  Area,18-06-2024 00:00,Electronics City Phase 1,2 BHK,1305,2,1,Bangalore,6700000,2,0,5134.099617
Built-up  Area,Ready To Move,Kavika Layout,6 BHK,1800,6,2,Bangalore,10100000,6,1,5611.111111
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,1206,2,3,Bangalore,5300000,2,1,4394.693201
Super built-up  Area,Ready To Move,Kambipura,2 BHK,883,2,1,Bangalore,4900000,2,1,5549.263873
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,1150,2,2,Bangalore,5500000,2,1,4782.608696
Carpet  Area,Ready To Move,Dinnur,2 BHK,1100,2,2,Bangalore,6500000,2,1,5909.090909
Super built-up  Area,Ready To Move,Banashankari Stage II,2 BHK,1245,2,1,Bangalore,12500000,2,1,10040.16064
Built-up  Area,Ready To Move,Cooke Town,3 BHK,1850,3,3,Bangalore,11000000,3,1,5945.945946
Built-up  Area,18-03-2024 00:00,Hoodi,4 Bedroom,3385,4,1,Bangalore,22000000,4,0,6499.261448
Super built-up  Area,Ready To Move,Sompura,4 BHK,2150,3,2,Bangalore,8500000,4,1,3953.488372
Super built-up  Area,Ready To Move,Hebbal,3 BHK,3895,3,1,Bangalore,39000000,3,1,10012.83697
Super built-up  Area,17-09-2024 00:00,Lingarajapuram,2 BHK,1035,2,2,Bangalore,5500000,2,0,5314.009662
Super built-up  Area,Ready To Move,Nandini Layout,2 BHK,600,3,2,Bangalore,7200000,2,1,12000
Super built-up  Area,Ready To Move,Zuzuvadi,3 BHK,1200,3,3,Bangalore,7500000,3,1,6250
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,1155,2,1,Bangalore,6918000,2,1,5989.61039
Plot  Area,Ready To Move,BCC Layout,7 Bedroom,1200,6,2,Bangalore,23500000,7,1,19583.33333
Super built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,755,1,0,Bangalore,3012000,1,1,3989.403974
Built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,960,2,2,Bangalore,3500000,2,1,3645.833333
Super built-up  Area,Ready To Move,Harsha Layout,1 BHK,450,1,1,Bangalore,2000000,1,1,4444.444444
Super built-up  Area,Ready To Move,Infantry Road,5 BHK,4000,5,2,Bangalore,68000000,5,1,17000
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1571,3,3,Bangalore,5312000,3,1,3381.285805
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1691,3,2,Bangalore,11900000,3,1,7037.256062
Super built-up  Area,19-12-2024 00:00,Kanakapura,3 BHK,1489,2,1,Bangalore,7000000,3,0,4701.141706
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,800,2,1,Bangalore,3200000,2,1,4000
Built-up  Area,Ready To Move,Jalahalli,3 BHK,980,2,2,Bangalore,6000000,3,1,6122.44898
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,1215,2,1,Bangalore,6500000,2,1,5349.794239
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,911,2,1,Bangalore,2650000,2,1,2908.891328
Super built-up  Area,Ready To Move,Bellandur,3 BHK,1535,3,2,Bangalore,9000000,3,1,5863.192182
Plot  Area,Ready To Move,5th Block Hbr Layout,5 Bedroom,1200,5,2,Bangalore,20500000,5,1,17083.33333
Super built-up  Area,Ready To Move,R.T. Nagar,3 BHK,1500,2,1,Bangalore,7000000,3,1,4666.666667
Built-up  Area,Ready To Move,Brookefield,2 BHK,1588,2,3,Bangalore,5800000,2,1,3652.392947
Plot  Area,Ready To Move,Horamavu Banaswadi,4 Bedroom,675,4,2,Bangalore,6800000,4,1,10074.07407
Built-up  Area,17-09-2024 00:00,Kannamangala,2 BHK,957,2,2,Bangalore,5600000,2,0,5851.619645
Built-up  Area,18-08-2024 00:00,Electronic City Phase II,2 BHK,1200,2,1,Bangalore,3465000,2,0,2887.5
Super built-up  Area,Ready To Move,Kanakapura main  Road,3 BHK,1495,2,2,Bangalore,5233000,3,1,3500.334448
Built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,845,2,0,Bangalore,3400000,2,1,4023.668639
Built-up  Area,Ready To Move,Padmanabhanagar,4 BHK,3000,4,2,Bangalore,35000000,4,1,11666.66667
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,2206,4,1,Bangalore,18000000,3,1,8159.564823
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1181,2,1,Bangalore,6100000,2,1,5165.11431
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1309,2,3,Bangalore,6950000,2,1,5309.396486
Built-up  Area,Ready To Move,Horamavu Agara,3 Bedroom,1400,3,3,Bangalore,6300000,3,1,4500
Plot  Area,Ready To Move,B Channasandra,5 Bedroom,1650,5,1,Bangalore,45000000,5,1,27272.72727
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1622,3,2,Bangalore,9500000,3,1,5856.966708
Super built-up  Area,18-04-2024 00:00,CV Raman Nagar,2 BHK,1225,2,2,Bangalore,4800000,2,0,3918.367347
Super built-up  Area,Ready To Move,Jakkur Plantation,3 BHK,1719,3,3,Bangalore,9500000,3,1,5526.468877
Super built-up  Area,Ready To Move,Abbigere,2 BHK,995,2,1,Bangalore,4080000,2,1,4100.502513
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,1120,2,2,Bangalore,5300000,2,1,4732.142857
Super built-up  Area,Ready To Move,Bellandur,2 BHK,1047,2,1,Bangalore,7500000,2,1,7163.323782
Super built-up  Area,18-04-2024 00:00,Devanahalli,3 BHK,1466,3,3,Bangalore,5996000,3,0,4090.040928
Super built-up  Area,18-12-2024 00:00,Sarjapur  Road,3 BHK,1691,3,2,Bangalore,10000000,3,0,5913.660556
Super built-up  Area,20-12-2024 00:00,Chandapura,2 BHK,876,2,2,Bangalore,2847000,2,0,3250
Super built-up  Area,18-05-2024 00:00,CV Raman Nagar,3 BHK,1659,3,1,Bangalore,13500000,3,0,8137.432188
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1270,2,1,Bangalore,10500000,2,1,8267.716535
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,1269,2,3,Bangalore,5075000,3,1,3999.211978
Super built-up  Area,Ready To Move,Kammanahalli,2 BHK,1200,3,2,Bangalore,8000000,2,1,6666.666667
Super built-up  Area,Ready To Move,Budigere,2 BHK,1153,2,2,Bangalore,5650000,2,1,4900.260191
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1315,2,2,Bangalore,6950000,2,1,5285.171103
Plot  Area,Ready To Move,Hebbal Kempapura,4 Bedroom,2485,4,2,Bangalore,19800000,4,1,7967.806841
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,1354,3,1,Bangalore,8586000,3,1,6341.211226
Plot  Area,Ready To Move,Whitefield,4 Bedroom,1344,3,1,Bangalore,13000000,4,1,9672.619048
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1180,2,1,Bangalore,5500000,2,1,4661.016949
Super built-up  Area,18-04-2024 00:00,Jalahalli,2 BHK,1313,2,2,Bangalore,6800000,2,0,5178.979436
Super built-up  Area,Ready To Move,Nehru Nagar,2 BHK,1100,2,2,Bangalore,5000000,2,1,4545.454545
Plot  Area,Ready To Move,Nagarbhavi,4 Bedroom,600,4,1,Bangalore,7800000,4,1,13000
Built-up  Area,Ready To Move,Basaveshwara Nagar,3 Bedroom,1200,3,0,Bangalore,19000000,3,1,15833.33333
Plot  Area,Ready To Move,Srinagar,6 Bedroom,625,3,3,Bangalore,7800000,6,1,12480
Super built-up  Area,Ready To Move,Vishwapriya Layout,2 BHK,890,2,3,Bangalore,3700000,2,1,4157.303371
Super built-up  Area,20-12-2024 00:00,Whitefield,2 BHK,1173,2,1,Bangalore,7820000,2,0,6666.666667
Super built-up  Area,Ready To Move,Reliaable Tranquil Layout,2 BHK,1190,2,1,Bangalore,5500000,2,1,4621.848739
Built-up  Area,Ready To Move,Green Glen Layout,2 BHK,1250,2,0,Bangalore,7500000,2,1,6000
Super built-up  Area,19-12-2024 00:00,Hoodi,3 BHK,1644,3,3,Bangalore,8051000,3,0,4897.201946
Plot  Area,Ready To Move,Yelahanka New Town,3 Bedroom,1740,3,2,Bangalore,15000000,3,1,8620.689655
Super built-up  Area,Ready To Move,Jakkur,3 BHK,1710,3,2,Bangalore,11000000,3,1,6432.748538
Plot  Area,Ready To Move,5th Phase JP Nagar,4 Bedroom,1000,4,2,Bangalore,13000000,4,1,13000
Super built-up  Area,18-02-2024 00:00,Hebbal,3 BHK,1662,3,2,Bangalore,15500000,3,0,9326.113117
Super built-up  Area,Ready To Move,Virupakshapura,2 BHK,1162,2,1,Bangalore,4800000,2,1,4130.80895
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1362,2,3,Bangalore,8500000,2,1,6240.82232
Super built-up  Area,Ready To Move,Bhagyalakshmi Avenue,1 BHK,540,1,1,Bangalore,2250000,1,1,4166.666667
Super built-up  Area,18-11-2024 00:00,Thanisandra,3 BHK,1533,3,0,Bangalore,7588500,3,0,4950.097847
Plot  Area,Ready To Move,Masjid e Alkareem,5 Bedroom,900,4,1,Bangalore,6200000,5,1,6888.888889
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,1250,4,2,Bangalore,13500000,4,1,10800
Super built-up  Area,Ready To Move,Begur Road,3 BHK,1410,2,3,Bangalore,5499000,3,1,3900
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,2665,5,3,Bangalore,12500000,4,1,4690.43152
Built-up  Area,Ready To Move,Singapura Village,2 BHK,970,2,0,Bangalore,4500000,2,1,4639.175258
Built-up  Area,Ready To Move,Kavika Layout,6 BHK,1799,6,3,Bangalore,10100000,6,1,5614.230128
Plot  Area,Ready To Move,8th Block Jayanagar,6 Bedroom,1500,6,1,Bangalore,30000000,6,1,20000
Plot  Area,Ready To Move,Uttarahalli,4 Bedroom,1200,4,3,Bangalore,15500000,4,1,12916.66667
Super built-up  Area,18-12-2024 00:00,Haralur Road,3 BHK,1810,3,2,Bangalore,9783000,3,0,5404.972376
Super built-up  Area,Ready To Move,Sathya Layout,2 BHK,1084,2,1,Bangalore,5100000,2,1,4704.797048
Super built-up  Area,Ready To Move,Doddabanahalli,3 BHK,1500,3,2,Bangalore,8500000,3,1,5666.666667
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1328,2,1,Bangalore,5600000,3,1,4216.86747
Built-up  Area,Ready To Move,Marathahalli,3 BHK,1485,2,2,Bangalore,9000000,3,1,6060.606061
Super built-up  Area,Ready To Move,Pai Layout,3 BHK,1500,2,2,Bangalore,5800000,3,1,3866.666667
Super built-up  Area,Ready To Move,R.T. Nagar,2 BHK,1100,2,2,Bangalore,8500000,2,1,7727.272727
Super built-up  Area,Ready To Move,Seetharampalya,3 BHK,1360,2,2,Bangalore,7300000,3,1,5367.647059
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,900,2,1,Bangalore,7500000,2,1,8333.333333
Plot  Area,Ready To Move,SMV layout,3 Bedroom,600,3,3,Bangalore,8600000,3,1,14333.33333
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1031,2,1,Bangalore,5448000,2,1,5284.190107
Super built-up  Area,20-08-2024 00:00,Whitefield,2 BHK,955,2,0,Bangalore,3819000,2,0,3998.95288
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1040,2,2,Bangalore,3640000,2,1,3500
Built-up  Area,Ready To Move,KR Puram,7 Bedroom,2800,6,1,Bangalore,11000000,7,1,3928.571429
Super built-up  Area,Ready To Move,Kothannur,3 BHK,1404,2,1,Bangalore,5615000,3,1,3999.287749
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1200,2,2,Bangalore,4600000,2,1,3833.333333
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1267,3,1,Bangalore,7800000,2,1,6156.274665
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1510,2,3,Bangalore,11000000,3,1,7284.768212
Super built-up  Area,21-09-2024 00:00,Kanakpura Road,2 BHK,900,2,1,Bangalore,4200000,2,0,4666.666667
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1457,2,2,Bangalore,10500000,3,1,7206.588881
Super built-up  Area,Ready To Move,Iblur Village,4 BHK,3596,4,2,Bangalore,26800000,4,1,7452.72525
Super built-up  Area,19-03-2024 00:00,8th Phase JP Nagar,3 BHK,1408,3,2,Bangalore,8000000,3,0,5681.818182
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1005,2,2,Bangalore,4500000,2,1,4477.61194
Plot  Area,Ready To Move,Dodsworth Layout,6 Bedroom,30400,4,2,Bangalore,182400000,6,1,6000
Built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,545,1,1,Bangalore,2800000,2,1,5137.614679
Built-up  Area,Ready To Move,"Sarjapur Road, ",2 BHK,1182,2,1,Bangalore,6400000,2,1,5414.551607
Super built-up  Area,18-05-2024 00:00,Talaghattapura,3 BHK,2038.5,3,0,Bangalore,12200000,3,0,5984.79274
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1367,2,0,Bangalore,8000000,2,1,5852.231163
Plot  Area,Ready To Move,BTM 1st Stage,5 Bedroom,1200,4,2,Bangalore,20000000,5,1,16666.66667
Built-up  Area,Ready To Move,Judicial Layout,5 BHK,1100,4,3,Bangalore,19900000,5,1,18090.90909
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1565,3,2,Bangalore,7800000,3,1,4984.025559
Super built-up  Area,18-02-2024 00:00,Whitefield,3 BHK,1720,3,2,Bangalore,12800000,3,0,7441.860465
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,1107,2,3,Bangalore,4400000,2,1,3974.706414
Super built-up  Area,20-01-2024 00:00,Yelahanka,2 BHK,1360,2,1,Bangalore,7819000,2,0,5749.264706
Super built-up  Area,18-01-2024 00:00,Anekal,2 BHK,625,1,1,Bangalore,2500000,2,0,4000
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,1701,2,2,Bangalore,14500000,2,1,8524.397413
Plot  Area,Ready To Move,Agrahara Dasarahalli,3 Bedroom,1350,1,0,Bangalore,12000000,3,1,8888.888889
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,1016,2,1,Bangalore,3995000,2,1,3932.086614
Super built-up  Area,Ready To Move,KEB Colony,3 BHK,1500,3,1,Bangalore,9000000,3,1,6000
Built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,900,2,1,Bangalore,4500000,2,1,5000
Super built-up  Area,Ready To Move,Sanjay nagar,3 BHK,1500,3,1,Bangalore,15000000,3,1,10000
Super built-up  Area,Ready To Move,Chikku Lakshmaiah Layout,3 BHK,2292,2,1,Bangalore,28500000,3,1,12434.55497
Carpet  Area,Ready To Move,Kereguddadahalli,3 BHK,1280,3,1,Bangalore,4200000,3,1,3281.25
Plot  Area,Ready To Move,Sri Balaji Krupa Layout,4 Bedroom,1750,4,2,Bangalore,26300000,4,1,15028.57143
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1500,2,1,Bangalore,7000000,3,1,4666.666667
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1500,2,1,Bangalore,6450000,3,1,4300
Super built-up  Area,Ready To Move,Gottigere,2 BHK,1245,2,2,Bangalore,5900000,2,1,4738.955823
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1025,2,1,Bangalore,4400000,2,1,4292.682927
Super built-up  Area,Ready To Move,Hennur Gardens,3 BHK,1945,3,2,Bangalore,13500000,3,1,6940.874036
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1640,3,3,Bangalore,24500000,3,1,14939.02439
Built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1348,2,2,Bangalore,8050000,3,1,5971.810089
Super built-up  Area,Ready To Move,Tindlu,2 BHK,1100,2,2,Bangalore,5500000,2,1,5000
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,1616,3,3,Bangalore,4000000,3,1,2475.247525
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,1855,3,3,Bangalore,13500000,3,1,7277.628032
Super built-up  Area,Ready To Move,Hennur,2 BHK,1255,2,2,Bangalore,5650000,2,1,4501.992032
Plot  Area,Ready To Move,HAL 2nd Stage,5 Bedroom,2040,4,1,Bangalore,50000000,5,1,24509.80392
Plot  Area,Ready To Move,5th Phase JP Nagar,4 Bedroom,2400,4,1,Bangalore,22800000,4,1,9500
Super built-up  Area,Ready To Move,Kothanur,2 BHK,1195,2,2,Bangalore,5900000,2,1,4937.238494
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,1022,2,1,Bangalore,3500000,2,1,3424.657534
Plot  Area,Ready To Move,Hegde Nagar,6 Bedroom,760,6,0,Bangalore,9800000,6,1,12894.73684
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1264,2,2,Bangalore,5200000,2,1,4113.924051
Super built-up  Area,Ready To Move,Chamrajpet,3 BHK,1650,3,2,Bangalore,11500000,3,1,6969.69697
Super built-up  Area,Ready To Move,Abbigere,2 BHK,1020,2,1,Bangalore,4080000,2,1,4000
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,4395,4,2,Bangalore,24200000,4,1,5506.25711
Built-up  Area,Ready To Move,Bommasandra,2 BHK,950,2,1,Bangalore,2500000,2,1,2631.578947
Super built-up  Area,18-07-2024 00:00,Shantiniketan Layout,4 BHK,2710,5,3,Bangalore,14200000,4,0,5239.852399
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1936,3,1,Bangalore,13100000,3,1,6766.528926
Super built-up  Area,Ready To Move,Ramanashree Enclave,2 BHK,1075,2,2,Bangalore,5800000,2,1,5395.348837
